Sl No,Roll Number,Category,PH,Marks
1,03803112600311,UR,-,94
2,03803112600448,UR,-,94
3,03810112602829,UR,-,94
4,03821112605500,UR,-,94
5,03826112606908,UR,-,94
6,03832112607800,UR,-,94
7,03833112608375,UR,-,94
8,03838112609657,UR,-,94
9,03839112610504,UR,-,94
10,03842112610815,UR,-,94
11,03842112610873,UR,-,94
12,03845112611504,UR,-,94
13,03845112611702,UR,-,94
14,03850112612452,UR,-,94
15,03856112613583,UR,-,94
16,03859112613812,UR,-,94
17,03863112614402,UR,-,94
18,03864112614821,UR,-,94
19,04868112616075,UR,-,94
