Roll Number,Category,Total Score
03803112600311,UR,94
03803112600448,UR,94
03810112602829,UR,94
03821112605500,UR,94
03826112606908,UR,94
03832112607800,UR,94
03833112608375,UR,94
03838112609657,UR,94
03839112610504,UR,94
03842112610815,UR,94
03842112610873,UR,94
03845112611504,UR,94
03845112611702,UR,94
03850112612452,UR,94
03856112613583,UR,94
03859112613812,UR,94
03863112614402,UR,94
03864112614821,UR,94
04868112616075,UR,94
04869112616131,UR,94
04869112616281,UR,94
04869112616356,UR,94
04874112616953,UR,94
04876112617003,UR,94
04876112617023,UR,94
04877112617225,UR,94
04877112617302,UR,94
04877112617418,UR,94
